Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-08 13:45:00,579.8576338749091,600.0341157584071,703.1143255079592,854.6286875459481,705.9515084733542,0.0,0.0,1.0,0.0,24.75,9.52,2.24,49.21,23.932255,0.035280854,-0.2588190451025208,-0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 14:00:00,570.0772511040561,577.1344499995228,662.8195379162979,822.6650644968498,731.4038038395277,0.0,0.0,1.0,0.0,24.9,9.56,1.47,48.95,27.645237,0.03441705,-0.4999999999999997,-0.8660254037844388,0.8064799463209448,-0.5912614448635781
2025-05-08 14:15:00,503.6488231192469,522.2237553698869,594.4458416374904,739.6144050322365,660.448204489803,0.0,0.0,1.0,0.0,24.9,9.56,1.47,48.95,35.383987,0.046928644,-0.4999999999999997,-0.8660254037844388,0.8064799463209448,-0.5912614448635781
2025-05-08 14:30:00,450.9125829380599,467.10831921659064,559.5263117204378,731.2734789391576,594.2695233999592,0.0,0.0,1.0,0.0,24.9,9.56,1.47,48.95,43.122734,0.059440233,-0.4999999999999997,-0.8660254037844388,0.8064799463209448,-0.5912614448635781
2025-05-08 14:45:00,405.7539645025935,424.6781835043131,534.2618832813347,567.8438055803186,545.4298067555519,0.0,0.0,1.0,0.0,24.9,9.56,1.47,48.95,50.861485,0.07195183,-0.4999999999999997,-0.8660254037844388,0.8064799463209448,-0.5912614448635781
2025-05-08 15:00:00,347.55228494927474,383.2373816338973,380.4116051799629,314.81413446592876,405.56327984622726,0.0,0.0,1.0,0.0,24.67,9.65,1.73,50.07,58.600235,0.08446342,-0.7071067811865471,-0.7071067811865479,0.8064799463209448,-0.5912614448635781
2025-05-08 15:15:00,283.39781398239694,307.2035801568806,85.15281114644071,285.34416561516,126.87134483120215,0.0,0.0,1.0,0.0,24.67,9.65,1.73,50.07,56.744125,0.0912047,-0.7071067811865471,-0.7071067811865479,0.8064799463209448,-0.5912614448635781
2025-05-08 15:30:00,61.90791300526825,76.14044176535408,123.7954560205941,268.6663263600612,114.28842804640627,0.0,0.0,1.0,0.0,24.67,9.65,1.73,50.07,54.88802,0.09794599,-0.7071067811865471,-0.7071067811865479,0.8064799463209448,-0.5912614448635781
2025-05-08 15:45:00,14.804202141801131,32.61144155975498,53.596269069789045,166.0106478074692,29.527127437811902,0.0,0.0,1.0,0.0,24.67,9.65,1.73,50.07,53.031914,0.10468727,-0.7071067811865471,-0.7071067811865479,0.8064799463209448,-0.5912614448635781
2025-05-08 16:00:00,12.176111363128316,10.078237747344149,33.73348959370706,135.2745283658648,48.96138074231186,0.0,0.0,1.0,0.0,23.97,10.09,5.61,54.54,51.175804,0.11142856,-0.8660254037844384,-0.5000000000000004,0.8064799463209448,-0.5912614448635781
